motif	HGNC	sub_cluster
NKX32.H13CORE.1.S.B	NKX3-2	1083
NKX61.H13CORE.0.PS.A	NKX6-1	1084
NKX61.H13CORE.1.P.B	NKX6-1	1085
NKX61.H13CORE.2.S.B	NKX6-1	1086
NKX62.H13CORE.0.SM.B	NKX6-2	1087
NKX63.H13CORE.0.SM.B	NKX6-3	1088
NOTO.H13CORE.0.SM.B	NOTO	1089
TLX2.H13CORE.0.SM.B	TLX2	1090
TLX3.H13CORE.0.SM.B	TLX3	1091
VAX1.H13CORE.0.SM.B	VAX1	1092
VAX2.H13CORE.0.SM.B	VAX2	1093
VENTX.H13CORE.0.SM.B	VENTX	1094
VENTX.H13CORE.1.S.C	VENTX	1095
NRF1.H13CORE.0.PS.A	NRF1	1096
CPXCR1.H13CORE.0.P.C	CPXCR1	1097
KAISO.H13CORE.0.P.B	ZBTB33	1098
KAISO.H13CORE.1.P.B	ZBTB33	1099
OSR1.H13CORE.0.SM.B	OSR1	1100
SLC2A4RG.H13CORE.0.PSG.A	SLC2A4RG	1101
ZBT22.H13CORE.0.SM.B	ZBTB22	1102
ZBT37.H13CORE.0.M.C	ZBTB37	1103
ZBT43.H13CORE.0.S.C	ZBTB43	1104
ZBTB5.H13CORE.0.SGI.A	ZBTB5	1105
ZBTB8A.H13CORE.0.PSGI.A	ZBTB8A	1106
ZBTB8B.H13CORE.0.PSGI.A	ZBTB8B	1107
ZN174.H13CORE.0.M.C	ZNF174	1108
ZN580.H13CORE.0.SM.B	ZNF580	1109
ZN580.H13CORE.1.SM.B	ZNF580	1110
ZN740.H13CORE.0.P.C	ZNF740	1111
ZN740.H13CORE.1.S.C	ZNF740	1112
ZNF367.H13CORE.0.PSGI.A	ZNF367	1113
ZNF395.H13CORE.0.PSGI.A	ZNF395	1114
ZNF503.H13CORE.0.P.B	ZNF503	1115
ZNF703.H13CORE.0.P.C	ZNF703	1116
ZNF831.H13CORE.0.PSGI.A	ZNF831	1117
ZSCA1.H13CORE.0.SM.B	ZSCAN1	1118
P53.H13CORE.0.P.B	TP53	1119
P53.H13CORE.1.S.C	TP53	1120
P63.H13CORE.0.PS.A	TP63	1121
P63.H13CORE.1.PS.A	TP63	1122
P73.H13CORE.0.PS.A	TP73	1123
P73.H13CORE.1.P.B	TP73	1124
ALX1.H13CORE.0.SM.B	ALX1	1125
ALX3.H13CORE.0.SM.B	ALX3	1126
ALX3.H13CORE.1.S.B	ALX3	1127
ALX4.H13CORE.0.S.B	ALX4	1128
ALX4.H13CORE.1.SM.B	ALX4	1129
ARGFX.H13CORE.0.SM.B	ARGFX	1130
ARX.H13CORE.0.S.B	ARX	1131
ARX.H13CORE.1.SM.B	ARX	1132
CRX.H13CORE.0.PSM.A	CRX	1133
DMBX1.H13CORE.0.SM.B	DMBX1	1134
DPRX.H13CORE.0.SM.B	DPRX	1135
DRGX.H13CORE.0.S.B	DRGX	1136
DRGX.H13CORE.1.SM.B	DRGX	1137
