motif	HGNC	sub_cluster
TBX4.H13CORE.1.S.B	TBX4	1475
TBX5.H13CORE.0.PS.A	TBX5	1476
TBX5.H13CORE.1.P.B	TBX5	1477
TBX5.H13CORE.2.S.B	TBX5	1478
TBX6.H13CORE.0.PSM.A	TBX6	1479
LEF1.H13CORE.0.PSM.A	LEF1	1480
LEF1.H13CORE.1.P.B	LEF1	1481
TAF1.H13CORE.0.P.B	TAF1	1482
TCF7.H13CORE.0.PSM.A	TCF7	1483
TF7L1.H13CORE.0.PM.A	TCF7L1	1484
TF7L1.H13CORE.1.P.C	TCF7L1	1485
TF7L1.H13CORE.2.S.C	TCF7L1	1486
TF7L2.H13CORE.0.P.B	TCF7L2	1487
TEAD1.H13CORE.0.PSM.A	TEAD1	1488
TEAD1.H13CORE.1.P.C	TEAD1	1489
TEAD1.H13CORE.2.S.C	TEAD1	1490
TEAD2.H13CORE.0.PSM.A	TEAD2	1491
TEAD3.H13CORE.0.PS.A	TEAD3	1492
TEAD3.H13CORE.1.S.B	TEAD3	1493
TEAD4.H13CORE.0.PS.A	TEAD4	1494
TEAD4.H13CORE.1.P.B	TEAD4	1495
GTF2IRD2.H13CORE.0.PS.A	GTF2IRD2	1496
THAP1.H13CORE.0.P.B	THAP1	1497
EGR1.H13CORE.0.PS.A	EGR1	1498
EGR2.H13CORE.0.PSM.A	EGR2	1499
EGR3.H13CORE.0.PSM.A	EGR3	1500
EGR4.H13CORE.0.S.B	EGR4	1501
KLF1.H13CORE.0.P.B	KLF1	1502
KLF10.H13CORE.0.P.C	KLF10	1503
KLF10.H13CORE.1.PSM.A	KLF10	1504
KLF11.H13CORE.0.P.B	KLF11	1505
KLF11.H13CORE.1.SM.B	KLF11	1506
KLF12.H13CORE.0.P.C	KLF12	1507
KLF12.H13CORE.1.PSM.A	KLF12	1508
KLF13.H13CORE.0.PSM.A	KLF13	1509
KLF13.H13CORE.1.P.C	KLF13	1510
KLF14.H13CORE.0.PSM.A	KLF14	1511
KLF14.H13CORE.1.P.C	KLF14	1512
KLF15.H13CORE.0.S.B	KLF15	1513
KLF15.H13CORE.1.P.C	KLF15	1514
KLF16.H13CORE.0.SM.B	KLF16	1515
KLF16.H13CORE.1.P.B	KLF16	1516
KLF17.H13CORE.0.M.C	KLF17	1517
KLF17.H13CORE.1.P.C	KLF17	1518
KLF2.H13CORE.0.S.C	KLF2	1519
KLF3.H13CORE.0.PS.A	KLF3	1520
KLF3.H13CORE.1.M.C	KLF3	1521
KLF4.H13CORE.0.PSM.A	KLF4	1522
KLF5.H13CORE.0.PM.A	KLF5	1523
KLF6.H13CORE.0.P.B	KLF6	1524
KLF6.H13CORE.1.SM.B	KLF6	1525
KLF7.H13CORE.0.P.B	KLF7	1526
KLF8.H13CORE.0.P.C	KLF8	1527
KLF8.H13CORE.1.P.C	KLF8	1528
KLF9.H13CORE.0.P.B	KLF9	1529
KLF9.H13CORE.1.P.B	KLF9	1530
SP1.H13CORE.0.P.B	SP1	1531
SP1.H13CORE.1.SM.B	SP1	1532
SP1.H13CORE.2.P.B	SP1	1533
SP2.H13CORE.0.P.D	SP2	1534
SP2.H13CORE.1.P.B	SP2	1535
SP3.H13CORE.0.P.B	SP3	1536
SP3.H13CORE.1.S.B	SP3	1537
SP4.H13CORE.0.P.C	SP4	1538
SP4.H13CORE.1.S.B	SP4	1539
SP4.H13CORE.2.P.B	SP4	1540
SP5.H13CORE.0.P.B	SP5	1541
SP5.H13CORE.1.P.B	SP5	1542
SP7.H13CORE.0.P.B	SP7	1543
SP8.H13CORE.0.SM.B	SP8	1544
SP9.H13CORE.0.P.B	SP9	1545
SP9.H13CORE.1.S.C	SP9	1546
NR1D1.H13CORE.0.P.B	NR1D1	1547
NR1D1.H13CORE.1.SM.B	NR1D1	1548
NR1D2.H13CORE.0.P.B	NR1D2	1549
NR1D2.H13CORE.1.SM.B	NR1D2	1550
NR1H2.H13CORE.0.P.C	NR1H2	1551
NR1H2.H13CORE.1.P.C	NR1H2	1552
NR1H3.H13CORE.0.P.B	NR1H3	1553
NR1H3.H13CORE.1.P.B	NR1H3	1554
NR1H4.H13CORE.0.P.B	NR1H4	1555
NR1H4.H13CORE.1.P.B	NR1H4	1556
NR1H4.H13CORE.2.P.B	NR1H4	1557
NR1I2.H13CORE.0.M.C	NR1I2	1558
NR1I2.H13CORE.1.S.C	NR1I2	1559
NR1I3.H13CORE.0.P.B	NR1I3	1560
NR1I3.H13CORE.1.PSM.A	NR1I3	1561
NR1I3.H13CORE.2.M.C	NR1I3	1562
PPARA.H13CORE.0.P.B	PPARA	1563
PPARA.H13CORE.1.P.B	PPARA	1564
PPARD.H13CORE.0.PSM.A	PPARD	1565
PPARG.H13CORE.0.P.B	PPARG	1566
PPARG.H13CORE.1.P.B	PPARG	1567
RARA.H13CORE.0.PSM.A	RARA	1568
RARA.H13CORE.1.P.B	RARA	1569
RARA.H13CORE.2.P.B	RARA	1570
RARA.H13CORE.3.P.B	RARA	1571
RARB.H13CORE.0.SM.B	RARB	1572
RARB.H13CORE.1.P.B	RARB	1573
RARG.H13CORE.0.P.B	RARG	1574
RARG.H13CORE.1.PSM.A	RARG	1575
RARG.H13CORE.2.SM.B	RARG	1576
RARG.H13CORE.3.S.B	RARG	1577
RORA.H13CORE.0.P.C	RORA	1578
RORB.H13CORE.0.SM.B	RORB	1579
RORG.H13CORE.0.M.C	RORC	1580
RORG.H13CORE.1.PS.A	RORC	1581
THA.H13CORE.0.P.B	THRA	1582
THA.H13CORE.1.PS.A	THRA	1583
THA.H13CORE.2.S.B	THRA	1584
THB.H13CORE.0.P.B	THRB	1585
THB.H13CORE.1.PSM.A	THRB	1586
THB.H13CORE.2.SM.B	THRB	1587
THB.H13CORE.3.S.C	THRB	1588
VDR.H13CORE.0.PS.A	VDR	1589
VDR.H13CORE.1.PS.A	VDR	1590
HMG20A.H13CORE.0.SB.A	HMG20A	1591
CGGBP1.H13CORE.0.PSGIB.A	CGGBP1	1592
CPEB1.H13CORE.0.S.B	CPEB1	1593
CPEB1.H13CORE.1.S.B	CPEB1	1594
DACH1.H13CORE.0.S.B	DACH1	1595
DACH2.H13CORE.0.S.B	DACH2	1596
DPF1.H13CORE.0.SM.B	DPF1	1597
MBNL2.H13CORE.0.B.B	MBNL2	1598
SKOR1.H13CORE.0.M.C	SKOR1	1599
SKOR1.H13CORE.1.S.C	SKOR1	1600
SKOR2.H13CORE.0.SM.B	SKOR2	1601
TCF20.H13CORE.0.B.B	TCF20	1602
ZN704.H13CORE.0.SM.B	ZN704	1603
ZN821.H13CORE.0.SM.B	ZN821	1604
AHCTF1.H13CORE.0.B.B	AHCTF1	1605
DNTTIP1.H13CORE.0.PSG.A	DNTTIP1	1606
GLYR1.H13CORE.0.B.B	GLYR1	1607
PHF21A.H13CORE.0.B.B	PHF21A	1608
SETBP1.H13CORE.0.B.B	SETBP1	1609
XBP1.H13CORE.0.PS.A	XBP1	1610
XBP1.H13CORE.1.M.B	XBP1	1611
