motif	cluster	HGNC
ATOH7_MA1468.1	C_ATOH7	ATOH7
FERD3L_MA1485.1	C_FERD3L	FERD3L
FOXN3_MA1489.1	C_FOXN3	FOXN3
HES6_MA1493.1	C_HES6	HES6
IRF6_MA1509.1	C_IRF6	IRF6
NR2F1_MA1538.1	C_NR2F1	NR2F1
NR2F6_MA1539.1	C_NR2F1	NR2F6
RXRB_MA1555.1	C_RXRG	RXRB
RXRG_MA1556.1	C_RXRG	RXRG
SMAD5_MA1557.1	C_SMAD3	SMAD5
TFAP4_MA1570.1	C_TFAP4	TFAP4
TGIF2LX_MA1571.1	C_PKNOX2	TGIF2LX
TGIF2LY_MA1572.1	C_PKNOX2	TGIF2LY
ZBTB32_MA1580.1	C_ZBTB32	ZBTB32
ZNF135_MA1587.1	C_ZNF135	ZNF135
ZNF136_MA1588.1	C_ZNF136	ZNF136
ZNF382_MA1594.1	C_ZNF382	ZNF382
ZNF460_MA1596.1	C_ZNF460	ZNF460
ZNF528_MA1597.1	C_ZNF528	ZNF528
HOXA5_MA0158.2	C_HOXB7	HOXA5
HOXD3_MA0912.2	C_mix-a	HOXD3
NEUROG1_MA0623.2	C_ATOH7	NEUROG1
ZNF707_MA1715.1	C_ZNF707	ZNF707
ZNF8_MA1718.1	C_ZNF8	ZNF8
Foxn1_MA1684.1	C_Foxn1	FOXN1
ELK1HOXA1_MA1931.1	C_ELK1::HOXA1	ELK1::HOXA1
HOXB2ELK1_MA1957.1	C_FLI1::DRGX	HOXB2::ELK1
POU2F1SOX2_MA1962.1	C_POU2F1::SOX2	POU2F1::SOX2
ZFP14_MA1972.1	C_ZFP14	ZFP14
ZNF418_MA1980.1	C_ZNF418	ZNF418
ZNF669_MA1985.1	C_ZNF669	ZNF669
SP1_MA0079.5	C_KLF5	SP1
RFX1_MA0509.3	C_RFX2	RFX1
SP2_MA0516.3	C_KLF5	SP2
BHLHA15_MA0607.2	C_ATOH7	BHLHA15
SP4_MA0685.2	C_KLF5	SP4
KLF14_MA0740.2	C_KLF5	KLF14
KLF12_MA0742.2	C_KLF5	KLF12
RFX3_MA0798.3	C_RFX2	RFX3
BHLHE22_MA0818.2	C_ATOH7	BHLHE22
HES5_MA0821.2	C_Mlxip	HES5
TFE3_MA0831.3	C_BHLHE41	TFE3
CDX1_MA0878.3	C_HOXA10	CDX1
DUXA_MA0884.2	C_DUXA	DUXA
KLF10_MA1511.2	C_KLF5	KLF10
NR1D2_MA1532.2	C_NR1D2	NR1D2
PITX2_MA1547.2	C_RHOXF1	PITX2
SOX18_MA1563.2	C_SOX18	SOX18
Thap11_MA1573.2	C_Thap11	THAP11
ZNF75D_MA1601.2	C_ZNF75D	ZNF75D
BACH1_MA1633.2	C_FOS::JUND	BACH1
mix-a_MA0621.2	C_mix-a	mix-a
ARNTHIF1A_MA0259.2	C_Mlxip	ARNT::HIF1A
Pgr_MA2323.1	C_Pgr	PGR
Ddit3Cebpa_MA0019.2	C_Ddit3::Cebpa	DDIT3::CEBPA
Foxq1_MA0040.2	C_Foxq1	FOXQ1
HOXB1_MA2093.1	C_mix-a	HOXB1
